Start frame:128, End frame:128, Time taken:10 microseconds
Start frame:129, End frame:129, Time taken:10 microseconds
Start frame:130, End frame:130, Time taken:7 microseconds
Start frame:131, End frame:131, Time taken:7 microseconds
Start frame:132, End frame:132, Time taken:9 microseconds
Start frame:133, End frame:133, Time taken:7 microseconds
Start frame:134, End frame:134, Time taken:7 microseconds
Start frame:135, End frame:135, Time taken:7 microseconds
Start frame:136, End frame:136, Time taken:7 microseconds
Start frame:137, End frame:137, Time taken:10 microseconds
Start frame:138, End frame:138, Time taken:7 microseconds
Start frame:139, End frame:139, Time taken:7 microseconds
Start frame:140, End frame:140, Time taken:7 microseconds
Start frame:141, End frame:141, Time taken:7 microseconds
Start frame:142, End frame:142, Time taken:7 microseconds
Start frame:143, End frame:143, Time taken:10 microseconds
Start frame:144, End frame:144, Time taken:13 microseconds
Start frame:145, End frame:145, Time taken:13 microseconds
Start frame:146, End frame:146, Time taken:7 microseconds
Start frame:147, End frame:147, Time taken:7 microseconds
Start frame:148, End frame:148, Time taken:7 microseconds
Start frame:149, End frame:149, Time taken:7 microseconds
Start frame:150, End frame:150, Time taken:7 microseconds
Start frame:151, End frame:151, Time taken:7 microseconds
Start frame:152, End frame:152, Time taken:7 microseconds
Start frame:153, End frame:153, Time taken:11 microseconds
Start frame:154, End frame:154, Time taken:11 microseconds
Start frame:155, End frame:155, Time taken:7 microseconds
Start frame:156, End frame:156, Time taken:7 microseconds
Start frame:157, End frame:157, Time taken:7 microseconds
Start frame:158, End frame:158, Time taken:7 microseconds
Start frame:159, End frame:159, Time taken:7 microseconds
Start frame:160, End frame:160, Time taken:7 microseconds
Start frame:161, End frame:161, Time taken:13 microseconds
Start frame:162, End frame:162, Time taken:11 microseconds
Start frame:163, End frame:163, Time taken:11 microseconds
Start frame:164, End frame:164, Time taken:7 microseconds
Start frame:165, End frame:165, Time taken:7 microseconds
Start frame:166, End frame:166, Time taken:7 microseconds
Start frame:167, End frame:167, Time taken:7 microseconds
Start frame:168, End frame:168, Time taken:12 microseconds
Start frame:169, End frame:169, Time taken:7 microseconds
Start frame:170, End frame:170, Time taken:7 microseconds
Start frame:171, End frame:171, Time taken:11 microseconds
Start frame:172, End frame:172, Time taken:7 microseconds
Start frame:173, End frame:173, Time taken:7 microseconds
Start frame:174, End frame:174, Time taken:7 microseconds
Start frame:175, End frame:175, Time taken:7 microseconds
Start frame:176, End frame:176, Time taken:7 microseconds
Start frame:177, End frame:177, Time taken:7 microseconds
Start frame:178, End frame:178, Time taken:7 microseconds
Start frame:179, End frame:179, Time taken:7 microseconds
Start frame:180, End frame:180, Time taken:7 microseconds
Start frame:181, End frame:181, Time taken:7 microseconds
Start frame:182, End frame:182, Time taken:7 microseconds
Start frame:183, End frame:183, Time taken:7 microseconds
Start frame:184, End frame:184, Time taken:11 microseconds
Start frame:185, End frame:185, Time taken:76 microseconds
Start frame:186, End frame:186, Time taken:7 microseconds
Start frame:187, End frame:187, Time taken:7 microseconds
Start frame:188, End frame:188, Time taken:7 microseconds
Start frame:189, End frame:189, Time taken:7 microseconds
Start frame:190, End frame:190, Time taken:7 microseconds
Start frame:191, End frame:191, Time taken:7 microseconds
Start frame:192, End frame:192, Time taken:7 microseconds
Start frame:193, End frame:193, Time taken:7 microseconds
Start frame:194, End frame:194, Time taken:7 microseconds
Start frame:195, End frame:195, Time taken:7 microseconds
Start frame:196, End frame:196, Time taken:7 microseconds
Start frame:197, End frame:197, Time taken:7 microseconds
Start frame:198, End frame:198, Time taken:7 microseconds
Start frame:199, End frame:199, Time taken:15 microseconds
Start frame:200, End frame:200, Time taken:7 microseconds
